pulocationid,avg_money
148,15.665776062027826
243,20.57353195120188
31,32.18559568828725
137,13.637243172363162
85,24.230581279378637
251,40.35992421164657
65,18.445416606613964
255,16.45380382875674
53,33.17450851820498
133,21.37015225386639
78,26.06290583914427
108,33.59765367553784
155,34.30681268598188
211,14.917674266226914
193,11.204825736971918
34,16.373227383405666
126,26.0071125547606
101,39.91731785037428
115,48.55528308198137
81,32.5976938395878
28,150.26874314477678
183,33.51015518726029
210,35.955259304887115
76,31.515582531984446
26,23.970851461816125
27,39.69884202856767
159,18.516306223441113
192,25.626477392474378
44,57.427000576257704
253,48.507857117038334
236,12.358848126954454
12,20.615970448636745
223,23.285656551691247
91,30.888250995767137
222,35.41399053405632
209,19.64940782823104
22,32.41535089777382
128,24.279960659438487
230,16.388786234596186
122,35.41751318270544
233,15.366752568754189
232,17.339813784999823
190,18.339161172672213
225,20.389143136471816
93,55.86310491003038
157,41.54522547783745
246,14.868857633990869
224,14.106638649436876
111,17.88500006254329
47,23.22828600306903
140,13.92991556374029
177,25.267025003124207
132,56.742723026934335
152,14.108079748942874
185,26.59022112681491
146,14.4752786425583
259,34.91256602924856
1,91.87353574770125
206,50.645990692500796
52,17.799184867524474
212,22.26619238978982
182,28.540227007822185
13,19.783593176073943
218,33.904576070197706
16,30.26006084709615
6,32.527234569743825
86,55.779780363990476
168,17.50626372788451
205,36.314716390854976
142,13.47942953968407
3,29.644426523444167
178,21.15128557951241
164,14.71526086244492
40,17.23459160362603
20,25.842863696824562
169,23.28031540270404
139,38.738569362296
94,23.100610427951285
250,24.811082065077148
57,28.711150550209315
120,32.47956197986203
54,18.29671306626421
235,25.356191542578873
96,23.451993579917318
48,14.302895739695915
163,15.177718613706809
5,79.69786198357589
191,36.57330024424984
258,31.43657074051093
19,31.441782692071257
92,27.40742030667067
257,23.61574353829413
227,27.156207983537705
64,37.33887490920723
117,60.55198079617273
41,13.069344894358428
154,64.82764712752414
43,13.780872999451171
15,36.42194435197828
262,13.322573549043202
112,16.27392461120588
165,25.984024275811564
179,14.464724861363251
189,16.58189660771892
207,13.651273400078841
37,18.050324105278595
127,20.323706186116524
61,19.542860320724753
88,21.979967919607677
197,38.53912752176014
107,13.761969189366448
202,22.127756563688898
231,16.376825669864356
17,15.59103143443652
9,25.463041413713384
72,27.783816190538904
175,31.12741906498451
35,28.413492808286573
196,26.80156885730861
217,14.788198565955653
229,13.219309292189157
114,14.276242996713114
220,23.699743031303186
173,17.362572999661875
4,14.701619599902436
55,39.72582450294003
59,28.97866636741729
100,14.681342647450425
241,25.829281322665445
8,41.445018266315586
161,15.073855689651495
39,33.28647102454253
23,62.111041790961465
49,15.784122992543304
176,88.05155533684625
162,14.83185260240871
7,13.198242991093244
238,12.990573737162002
244,18.112470685235298
130,47.00117400594044
136,25.569611494020045
84,52.00766039528745
247,18.30890235367441
87,20.88630158111846
171,33.073023249435685
51,36.17699042788914
194,48.91482836715966
166,14.861940294278028
129,16.345306083884985
69,20.702330200451893
97,15.991999004440881
239,12.922270255800926
234,13.786702080558833
63,32.32932454280526
10,61.14484593690314
102,26.586166933127906
77,29.700332559535703
50,14.455468814950281
45,20.343087786360513
216,51.51836698341836
261,20.140840106763104
38,43.685618106008484
249,13.867174736262319
82,19.420555872754445
181,16.367118153256556
167,21.360429379535965
80,17.377525797658368
240,34.119374725001826
25,16.482511384470854
73,27.288074418674153
245,42.54743924228156
237,11.95062412308459
113,13.562308952637125
24,13.96415538579709
160,29.07301424225782
70,34.96871113788621
125,15.264024602676209
62,20.247779387610855
121,29.13448938883656
156,62.53365020751953
143,13.035485252317125
219,61.85149287749459
95,23.334901678622092
226,18.342490625287553
29,31.411177682188843
21,31.587383336357753
214,48.048461453527466
256,16.38616398857391
195,27.194185849094882
98,32.72218131303203
90,13.603774257734477
60,25.10174551623813
32,31.751950772277645
75,13.010310983212
203,44.53854503632209
221,47.11911908829265
141,12.245216114284464
151,13.275494367312268
145,18.318026534669713
200,30.82088715965326
56,37.722424037534765
254,32.253821187577046
109,55.5085460879586
213,29.079519565236186
228,22.732365926040842
170,14.62551048452648
105,20.44822199256332
188,19.864268453284577
58,33.21754721463101
33,18.670274854467515
11,32.11896304302766
204,78.81952401002248
83,16.267619497445725
150,36.40809118406463
110,18.023333231608074
68,14.531336029730381
260,17.713893348558784
106,16.7754952471934
71,27.968398257168655
116,15.44532148375901
147,26.82802268599239
198,22.883001297284782
14,30.84538978665965
123,25.372759369425427
158,15.092369105552605
242,25.50292573932282
199,17.077222055859036
135,31.044122946028317
248,25.460871207776087
42,13.293280878562868
119,21.932898172800883
79,14.033729150659918
201,47.44949311704679
2,44.62452043899118
131,29.76061370947044
149,27.919364928793744
118,45.28383445152964
124,46.056882159204676
30,28.23599984407425
99,35.04611122608185
184,44.718156459278234
66,18.988113320786873
186,14.902057002679646
67,26.6844107779453
46,46.05589398450968
215,58.78635762564397
174,27.536381607242713
172,50.68821907778309
252,43.945265721630406
144,15.07109267902576
153,22.308693528639203
18,23.68919170937545
74,12.940920002210259
138,42.64429916174605
180,36.796002491075896
104,6.800000190734863
134,36.103398782391125
36,18.767738181420956
208,36.253321141221306
187,50.05241391028481
89,24.188294710825094
