payment_type,avg(dist),var(dist),count(dist)
1,3.080749415631731,14.982146549354127,70433386
2,2.6541702966303125,20.289977319768536,30176769
3,3.4592819428884645,23.02979161955604,393673
4,3.5423143195161764,22.073819891872482,113191
5,6.25,66.125,2
