sp_hour,mean_speed,sd_speed
0,15.655171986713707,2.22216687536726
1,16.385865998601908,2.111288846054811
2,16.631096287055794,1.612430205810018
3,17.479538882245926,1.3696295119996633
4,19.581805536241813,1.854885667467672
5,19.78997742744034,1.1196038528398284
6,16.82242200013401,2.5139448157057185
7,13.868480925258845,3.272954030105103
8,11.6095685770041,3.288358094262656
9,10.808644661349264,2.7768242729545585
10,10.511191083134262,2.2195695421749972
11,10.115870615383427,1.7928057178099188
12,10.063836798325973,1.5188686348659057
13,10.144825078553524,1.3232678739745352
14,9.937610914146497,1.3933301328728942
15,9.68794072765058,1.4361620404336803
16,9.919554653337743,1.3472556789958487
17,9.819312361028183,1.3667813197150724
18,10.13624537860316,1.3042620226977593
19,11.04783193345237,1.2908485621278072
20,12.21029721805685,1.409051407675046
21,12.826803390972806,1.3331242195519144
22,13.373440958142984,1.6411547462632823
23,14.476869527835689,2.0661921390868727
