puLocationId,count,sd_dist
5,25.873200008273123,7.849120301268475
44,19.661290395644404,16.30622016311742
23,18.50631358083022,13.973369236642622
176,17.56437507085502,13.697212946849007
84,17.100416632990044,11.901030461767904
86,16.929073801865282,8.058707811391322
117,16.663821444341114,9.913343708385913
204,16.63818195733157,10.39622915502113
156,16.411604937579895,11.368444187929724
132,16.387604267317602,5.405160105987047
219,15.586999193767713,8.427275718519368
154,14.863300986467442,12.954435812294777
10,14.656351646810354,5.652676846517965
201,14.578918895205936,9.736459367543407
206,14.450982618194095,11.24581810571829
46,13.831350225688032,8.020738270026754
215,13.538177549821931,5.706155270123563
172,13.265161217220369,7.972837600106807
38,13.222859499634733,8.168970123726654
203,13.188829419239442,8.284110990086415
187,12.989876590393207,9.03440032567675
118,12.456623374254672,12.696545774220828
221,12.44366123865211,9.784781932195727
2,12.406571471691132,8.196470125152091
245,12.26543481712756,10.958292559390207
101,12.219478993355727,7.037055627273294
30,12.179999987284342,14.436307912756408
139,11.855211104923026,8.052571103638488
55,11.80902090566855,8.37974458971448
214,11.754851500586708,8.69280227023082
115,11.61611768989002,8.999200538583617
64,11.475407510902441,9.528737963409757
109,11.158333291610083,11.629500494463567
130,11.068091701387115,5.9371272261615164
191,11.046692035595576,7.118715826364509
1,11.002754433511415,9.554723286126503
124,10.753377550870033,8.94369358196547
253,10.53944055683963,9.230991508657457
210,10.51882869000655,7.764497423648813
205,10.498585830880494,7.165307845320777
216,10.393444651015027,9.106183717955728
15,10.32702862803862,7.6148597549800305
28,10.312339548420676,6.103956483378397
222,10.2289326302071,8.22089449027617
252,10.163236148039964,7.432088728043145
150,10.11956056687354,7.790121749661108
51,10.102467091468073,7.14271056540747
27,10.10090910507874,10.966167303716935
122,10.0462695616247,6.443666427590269
93,9.964233614346705,5.002174465882271
218,9.870553764367626,6.8275702479766505
138,9.787957754174576,3.3088042155111905
259,9.734583588682773,7.41098009567174
53,9.666207245178146,5.351156648301115
184,9.640558992113386,8.078421082953511
183,9.458519720325345,6.5955720125738475
175,9.382004392891305,6.244134685449769
155,9.244287722114104,8.48512861256338
108,9.22563451614275,7.214543198999114
39,9.189148629999364,7.767529317182083
208,9.11093770639256,7.152655822378459
254,9.108238544447065,7.539882936758083
6,9.053435880404253,9.248531615694489
81,9.024226558489522,7.03090547067115
171,9.022609044006058,6.284334796834671
98,8.91144822137712,6.109703679468471
29,8.883707135830607,7.625743068321835
58,8.877586205252285,7.959291462051312
19,8.78586047393407,6.656239410488041
16,8.761923604130256,6.819177610294075
131,8.681078010429411,6.4522021284138855
251,8.66267327447929,10.255669567757586
240,8.552142854405458,7.1289146590452885
21,8.476459502839823,6.34926183703255
32,8.450445604821047,6.580389721198423
76,8.348035140760242,6.8486987385524625
91,8.347176576424,6.850042824512706
135,8.280774539022357,6.98250750489681
180,8.272145517817584,5.50997789051291
200,8.240937127505513,6.0513115781301705
11,8.12219663802452,7.562830800098915
22,8.075676345380353,6.70969762555916
59,8.023571426771126,6.668546158870414
3,7.993436149786759,6.520182196565631
258,7.97741429949951,5.561874549251827
70,7.841708492834113,7.78475760350027
77,7.835274613747746,6.54692640653208
182,7.792731060200569,5.741005680114075
121,7.781184409422496,5.320871482074856
213,7.744053915034136,5.453149959726927
197,7.71708568212727,5.755047919620904
31,7.693163024247998,5.704888894370769
63,7.690131406685587,5.958173683242779
265,7.56191098601917,10.121909259658604
14,7.496274864538129,6.008690469514946
149,7.421748426200459,6.53971137538239
35,7.387321054143292,5.8810408280354896
174,7.36672323566089,6.867119806833656
207,7.176644984613875,5.314214145523766
71,7.11476014153599,5.677432798096023
72,7.090348580210701,5.963423996070523
227,7.053070416717181,6.049736228996622
73,7.035833327063158,5.1685022052328735
147,6.933045181911134,5.844877785715286
92,6.89498375794163,5.879929485141991
136,6.890534078691816,6.425997804545327
9,6.870791713953309,4.940009050043441
56,6.861631290313252,4.243247578690951
78,6.847698948298754,5.631135140613937
248,6.8451287710464905,5.801671472276509
185,6.830700499577817,5.582570218855772
194,6.818949157656882,5.686025068764677
235,6.715842486971776,6.14486586605978
123,6.714121803447654,6.3007529262136135
241,6.681217640227851,6.018664209024585
165,6.658307876941552,5.860244049282125
126,6.644958675892885,5.815962599785538
102,6.608449550163145,4.85219447653963
