PULocationID,puhour,mean_hour,sd_hour
1,0,1.103448275862069,0.40925259281898757
1,1,1.1363636363636365,0.4675625290960757
1,2,1.0833333333333333,0.2803059552906941
1,3,1.1369863013698631,0.3842405385645923
1,4,1.4258064516129032,0.8134293853145284
1,5,1.5776397515527951,1.0039904852188282
1,6,1.7142857142857142,1.0139154831503339
1,7,1.6578947368421053,1.1564476666897894
1,8,1.5357142857142858,0.7998397275352042
1,9,1.50253807106599,0.8428835678801566
1,10,1.5384615384615385,0.8073807034585411
1,11,1.7464114832535884,1.1341716068186745
1,12,1.9012345679012346,1.2458685934674458
1,13,2.1042471042471043,1.279209615750446
1,14,2.35472972972973,1.3626412268631252
1,15,2.5193548387096776,1.5573023216226207
1,16,2.4983277591973243,1.6936014244298645
1,17,2.106299212598425,1.2794050019949943
1,18,2.046875,1.2733120314407478
1,19,1.9427312775330396,1.1904031937759156
1,20,1.5337078651685394,0.7062983509132393
1,21,1.3076923076923077,0.6360104431686864
1,22,1.1475409836065573,0.4014999200402781
1,23,1.1666666666666667,0.37904902178945177
2,0,1.0,
2,1,1.0,
2,2,1.0,
2,5,1.0,
2,6,1.0,0.0
2,7,1.0,0.0
2,8,1.0,0.0
2,9,1.0,0.0
2,10,1.0,0.0
2,11,1.0,0.0
2,12,1.0,0.0
2,13,1.0,0.0
2,14,1.1111111111111112,0.3333333333333333
2,15,1.0,0.0
2,16,1.1666666666666667,0.408248290463863
2,17,1.0,0.0
2,18,1.0,0.0
2,19,1.0,0.0
2,20,1.0,0.0
2,21,1.0,0.0
2,22,1.0,0.0
2,23,1.0,0.0
3,0,1.0,0.0
3,1,1.0555555555555556,0.23570226039551584
3,2,1.05,0.22360679774997894
3,3,1.1304347826086956,0.344350221575091
3,4,1.0,0.0
3,5,1.0,0.0
3,6,1.0,0.0
3,7,1.2125,0.4953901416106937
3,8,1.2837837837837838,0.5856800349124733
3,9,1.275,0.5025252685881778
3,10,1.160919540229885,0.42790901060614006
3,11,1.1896551724137931,0.6057298497991404
3,12,1.1159420289855073,0.40352242754414136
3,13,1.2253521126760563,0.5126174596712041
3,14,1.1666666666666667,0.41111322589651894
3,15,1.1451612903225807,0.355139048896016
3,16,1.0625,0.2446230273950408
3,17,1.11864406779661,0.3261449731971787
3,18,1.0869565217391304,0.28488492464476783
3,19,1.1142857142857143,0.3228028510906757
3,20,1.2,0.48423419811150226
3,21,1.0,0.0
3,22,1.0666666666666667,0.2581988897471611
3,23,1.0434782608695652,0.20851441405707477
4,0,36.512328767123286,33.61012710906074
4,1,35.30684931506849,39.95910109912772
4,2,27.52354570637119,34.32322059244279
4,3,18.805013927576603,24.257714949410314
4,4,12.805555555555555,13.537772277669262
4,5,8.654794520547945,4.924290574662117
4,6,14.723287671232876,5.304738720972703
4,7,22.26027397260274,8.209528431498972
4,8,31.852054794520548,12.564122451011942
4,9,30.575342465753426,8.428297783212512
4,10,24.53150684931507,6.805558424583536
4,11,22.517808219178082,6.925255231257846
4,12,20.778082191780822,7.3837184744347795
4,13,20.60821917808219,7.740108068939472
4,14,20.526027397260275,8.198934991768583
4,15,19.805479452054794,7.589247208374747
4,16,16.356164383561644,6.505639698368773
4,17,21.12054794520548,8.229986696077491
4,18,26.26027397260274,10.042256047230595
4,19,26.356164383561644,11.952940995187852
4,20,26.28219178082192,11.689190818704521
4,21,30.295890410958904,13.244327402310988
4,22,33.53972602739726,17.245215451500997
4,23,36.31506849315068,25.076518454746267
5,0,1.0,0.0
5,1,3.0,
5,2,1.75,0.5
5,3,1.0,0.0
5,4,1.0,0.0
5,5,1.0,
5,6,1.0,
5,7,1.0,
5,8,1.5,1.0
5,9,1.03125,0.1767766952966369
5,10,1.0,0.0
5,11,1.0666666666666667,0.2581988897471611
5,12,1.0,0.0
5,13,1.0,0.0
5,15,1.0,0.0
5,16,1.0,0.0
5,17,1.0,
5,18,1.0,
5,19,1.0,0.0
5,20,1.0,0.0
5,21,1.0,0.0
5,22,1.3333333333333333,0.5773502691896258
5,23,1.5,0.7071067811865476
6,0,1.0,0.0
6,1,1.1,0.3162277660168379
6,2,1.0,0.0
6,3,1.2222222222222223,0.4409585518440984
6,4,1.0,0.0
6,5,1.0,0.0
6,6,1.0,0.0
6,7,1.1428571428571428,0.3779644730092272
6,8,1.0,0.0
6,9,1.0,0.0
6,10,1.0303030303030303,0.17407765595569785
6,11,1.0740740740740742,0.2668802563418119
6,12,1.0454545454545454,0.21320071635561041
6,13,1.0,0.0
6,14,1.0909090909090908,0.30151134457776363
6,15,1.75,1.0350983390135313
6,16,1.2380952380952381,0.7003400534570262
6,17,1.1666666666666667,0.38924947208076144
6,18,1.1666666666666667,0.408248290463863
6,19,1.1,0.3162277660168379
6,20,1.0,0.0
6,21,1.0,0.0
6,22,1.0,0.0
6,23,1.0,0.0
7,0,24.019178082191782,10.272504877850015
7,1,23.994520547945207,12.728136721398585
7,2,20.21978021978022,13.58114249084083
7,3,17.895890410958906,14.151849550579707
7,4,23.361643835616437,16.331579923108677
7,5,19.216438356164385,5.880191503259758
7,6,26.224043715846996,6.57092566930325
7,7,33.74520547945205,10.66360042046974
7,8,27.60821917808219,8.488676255295262
7,9,21.89041095890411,9.918848806380488
7,10,18.186301369863013,9.44814237030677
7,11,16.26027397260274,7.289966379541315
7,12,15.7013698630137,6.180981401472828
7,13,16.756164383561643,6.416260813748665
7,14,17.03835616438356,5.534969503102159
7,15,16.506849315068493,6.054067944141908
7,16,14.046575342465754,5.021986882747627
7,17,13.183561643835617,5.88224684446208
7,18,12.468493150684932,5.683716782126902
7,19,11.884931506849314,5.876748541125907
7,20,12.476712328767123,5.512486339669232
7,21,14.115068493150686,5.451375248223529
7,22,16.698630136986303,6.801108772538671
7,23,18.994535519125684,8.513001993089826
8,0,1.0588235294117647,0.23883257361061286
8,1,1.0,0.0
8,2,1.1111111111111112,0.3333333333333333
8,3,1.0,0.0
8,4,1.0,0.0
8,5,1.04,0.19999999999999996
8,6,1.206896551724138,0.5543645228533541
8,7,1.186046511627907,0.45017530730702027
8,8,1.1228070175438596,0.38126553544911873
8,9,1.0819672131147542,0.27659127289275987
8,10,1.069767441860465,0.2577696311132336
8,11,1.0625,0.2459346884189824
8,12,1.1666666666666667,0.4294149078927831
8,13,1.0526315789473684,0.2940512972485138
8,14,1.2033898305084745,0.44642878016192833
8,15,1.2105263157894737,0.5280200004832998
8,16,1.178082191780822,0.5094241234915455
8,17,1.1777777777777778,0.6497862896539309
8,18,1.1818181818181819,0.5401432743921153
8,19,1.05,0.2207214278631523
8,20,1.1842105263157894,0.7298745970738875
8,21,1.162162162162162,0.5534494613840601
8,22,1.0892857142857142,0.28773635118317564
8,23,1.0434782608695652,0.20851441405707474
9,0,1.0909090909090908,0.30151134457776363
9,1,1.0,0.0
