location_id,pickup_count,dropoff_count
79,6562,3340
48,3964,3114
68,4403,2334
170,1421,2133
107,1726,1901
230,3153,1786
90,1748,1734
249,3535,1696
148,6663,1692
164,2528,1533
137,931,1530
186,1564,1371
7,494,1318
234,1772,1298
263,986,1285
141,1309,1267
231,1475,1219
87,348,1185
246,2158,1172
233,462,1147
50,1092,1110
75,341,1066
229,1074,1049
264,1185,1025
74,429,1020
114,2478,970
162,1113,942
142,617,924
113,958,899
144,1902,894
163,1421,888
161,1152,870
140,449,868
41,373,862
239,611,824
236,348,820
238,435,811
4,419,811
116,160,800
42,182,799
244,90,764
100,1470,755
37,134,698
226,270,692
232,330,675
158,2044,665
256,411,650
255,485,635
151,230,612
211,511,597
262,189,595
223,60,575
143,154,572
129,249,571
224,111,563
166,332,555
80,287,553
237,557,539
61,57,519
261,232,500
17,53,490
145,136,487
13,103,469
125,912,463
265,126,460
112,123,445
181,117,427
36,103,397
225,44,377
138,33,376
179,84,375
260,155,371
152,93,359
49,48,355
82,141,338
243,41,338
45,186,336
88,184,331
209,95,326
146,148,277
24,193,276
25,131,274
43,162,252
65,103,251
132,557,244
89,20,243
33,43,234
97,109,232
198,9,215
188,21,197
168,55,196
228,25,185
95,12,184
14,9,182
173,7,177
189,39,165
127,26,148
193,69,138
1,10,121
83,33,118
69,9,117
66,10,114
40,35,112
157,5,110
159,7,103
62,6,101
257,1,94
56,7,93
133,6,86
247,16,80
202,2,78
227,5,78
177,4,78
106,39,75
160,1,74
220,1,68
70,13,67
119,3,67
196,11,66
22,2,62
76,6,60
169,7,59
217,22,57
197,4,56
235,5,55
167,5,54
85,5,53
248,1,51
241,3,51
52,12,50
195,2,50
67,2,50
212,1,50
258,1,48
28,9,48
18,2,47
126,3,46
78,5,44
190,8,41
216,5,41
92,5,40
134,1,39
26,4,38
130,12,38
12,11,38
200,1,37
165,2,37
71,11,36
136,6,36
147,1,35
21,0,33
72,4,32
213,2,31
149,1,31
20,0,31
208,0,30
185,0,30
123,3,30
259,2,29
10,5,29
54,0,28
16,0,28
91,4,28
250,3,27
47,2,27
94,2,27
35,4,26
182,1,25
60,4,24
63,10,24
155,1,23
174,3,23
102,1,23
32,0,21
39,2,21
254,1,21
120,2,20
135,2,20
242,6,20
121,2,20
77,1,19
218,0,17
219,9,17
108,0,17
210,0,17
171,2,16
131,0,16
252,1,16
11,0,15
29,1,15
180,2,15
203,0,14
98,0,14
81,0,14
178,4,14
51,1,13
183,1,13
53,0,13
57,0,13
73,2,11
3,3,11
139,0,11
118,0,11
153,1,11
215,2,11
191,2,11
124,0,10
93,1,10
86,1,10
240,3,10
175,1,10
201,0,9
205,0,8
19,0,8
55,0,8
214,0,7
6,2,7
117,1,7
9,1,7
15,0,6
64,0,6
115,0,6
150,0,6
192,2,6
101,1,5
34,0,5
23,1,5
176,1,5
122,0,5
44,0,4
58,0,4
84,1,4
172,0,4
109,1,4
96,1,3
221,0,3
31,0,3
46,0,3
38,0,3
222,0,3
59,0,2
8,1,2
184,0,2
251,1,2
187,0,2
5,0,2
206,0,2
207,0,2
128,0,2
156,0,2
245,0,2
154,0,1
27,0,1
194,1,1
204,0,1
