location_id,pickup_count,dropoff_count
236,18233,16067
237,18081,16215
186,13546,9317
170,13512,13102
138,12665,6162
162,12556,17833
161,11388,22221
239,10307,7248
48,10148,6149
142,10078,9151
141,10019,6457
230,9812,12086
238,9538,5709
107,8959,6232
234,8910,14426
140,8652,8379
229,8515,5559
163,8071,11810
263,8025,4815
68,7869,7767
100,7816,6989
164,7730,8589
262,7040,2863
79,6883,3289
90,6303,5345
113,6045,4764
249,5922,3415
143,5842,3633
231,5652,7731
43,5486,5248
233,5424,7241
132,5313,4003
246,4988,9783
137,4759,4505
50,4466,4682
151,4388,1789
264,4320,3775
13,4199,5233
158,3337,2721
75,3101,4936
87,2749,3790
114,2575,2976
166,2237,4077
148,2097,1538
125,1863,3134
144,1858,2472
211,1746,2832
24,1631,783
261,1607,2073
41,1550,1707
74,1537,2700
224,1213,504
88,1049,3251
4,825,690
42,746,975
45,626,1335
209,611,1044
226,609,542
7,599,602
116,599,456
65,589,762
244,548,1301
33,466,674
232,433,862
152,377,525
146,342,361
52,340,104
40,340,120
145,299,704
179,298,197
25,285,409
193,270,333
97,266,292
223,240,326
129,217,358
181,214,387
260,183,226
66,181,546
265,129,637
10,115,66
49,114,206
82,103,176
61,85,171
70,84,96
12,81,559
95,69,203
188,66,107
255,62,311
247,59,231
243,56,257
168,55,171
89,55,117
35,54,35
76,54,86
189,49,105
216,49,98
130,45,123
256,43,265
228,41,150
106,41,56
83,41,85
17,39,192
127,39,95
80,38,148
112,37,274
39,36,60
91,36,52
225,35,113
215,35,36
93,33,104
28,32,46
219,32,47
135,30,69
72,30,52
14,29,90
195,28,115
194,28,303
51,27,35
69,27,147
134,27,80
1,27,775
177,26,46
92,26,128
213,26,32
205,25,43
218,25,33
55,25,40
254,25,37
196,24,75
202,23,68
77,23,25
37,23,116
220,22,66
159,22,110
165,21,41
62,21,71
26,20,54
207,20,23
222,20,11
210,20,34
71,19,48
182,19,16
123,18,40
22,17,33
119,17,64
133,16,27
242,16,74
217,16,33
21,16,16
54,15,36
155,15,34
85,15,26
167,15,45
190,15,37
32,15,22
235,14,37
139,13,34
227,13,34
198,13,53
63,13,31
169,12,49
203,12,33
174,12,59
78,12,33
257,12,56
108,12,6
81,12,16
258,11,33
131,11,36
212,11,23
56,11,54
11,10,17
18,10,36
197,10,67
157,10,67
200,9,89
250,9,33
19,9,21
38,9,11
178,9,20
259,9,21
101,8,16
208,8,42
241,8,39
122,8,20
36,8,87
121,8,44
171,7,30
147,7,32
173,7,47
20,7,70
192,7,32
15,6,9
3,6,16
160,6,49
248,6,23
117,6,8
86,6,17
153,6,7
8,5,2
16,5,28
53,5,26
67,5,27
191,5,41
175,5,17
124,4,26
29,4,24
34,4,62
183,4,12
98,4,41
47,4,41
126,4,35
136,4,48
185,4,55
60,4,15
128,4,26
102,4,16
252,4,31
64,2,18
96,2,4
23,2,17
156,2,0
240,2,9
180,2,7
9,2,13
149,2,16
253,2,2
120,1,5
150,1,10
154,0,3
73,0,18
30,0,1
59,0,1
251,0,1
214,0,2
221,0,2
5,0,1
31,0,25
206,0,4
27,0,2
46,0,3
6,0,2
118,0,4
201,0,6
111,0,1
115,0,5
245,0,3
58,0,3
204,0,1
84,0,1
172,0,1
109,0,2
94,0,23
57,0,10
