location_id,pickup_count,dropoff_count
79,11343,7126
48,6762,6166
170,3175,4845
68,5344,4701
148,10138,4006
107,4108,3961
249,6956,3808
230,6313,3651
186,3283,3478
90,3361,3284
263,2170,3202
141,2194,3187
164,4834,3135
137,1732,2880
234,4908,2827
231,2957,2609
229,2310,2572
7,639,2561
162,2844,2522
239,1911,2412
233,1159,2404
246,2553,2383
238,1104,2372
87,975,2342
114,5872,2328
142,2494,2323
163,3335,2240
144,3754,2188
161,4002,2140
50,1695,2099
236,963,2072
75,672,2052
158,4200,2047
264,2102,1906
113,2209,1866
140,946,1853
74,683,1791
42,371,1777
100,3203,1762
41,672,1718
262,381,1613
237,1907,1605
116,317,1519
4,890,1505
143,494,1465
244,195,1460
151,496,1298
232,680,1281
181,297,1278
256,524,1255
211,1670,1219
226,334,1212
255,709,1196
166,636,1129
112,228,1128
145,356,1089
223,103,1075
224,208,1069
13,463,1056
61,118,1032
129,205,1027
80,320,1022
125,1377,1003
265,242,994
261,507,887
17,124,879
37,147,878
243,69,846
49,107,795
33,101,776
179,101,745
43,517,729
24,315,724
225,56,648
152,189,643
97,216,638
25,225,636
209,401,633
260,154,618
88,685,607
45,617,581
82,115,579
36,93,524
65,204,523
89,47,499
189,92,463
146,240,452
188,36,446
95,42,434
14,24,403
127,40,385
40,70,359
168,49,354
228,28,330
198,21,329
66,55,283
173,23,247
52,24,242
62,18,236
257,8,222
106,57,222
193,75,214
83,47,191
132,4633,183
69,11,183
159,29,172
202,8,170
247,32,152
56,26,148
133,12,146
157,9,142
227,9,140
92,8,137
196,28,132
10,23,131
216,10,118
177,6,116
220,3,115
160,3,109
195,10,105
70,11,105
85,12,104
134,9,104
76,3,101
119,4,99
197,4,97
169,9,95
217,44,92
22,6,91
67,2,91
212,4,91
54,4,90
28,18,90
71,1,88
39,5,87
190,5,85
248,6,84
18,3,84
91,2,82
258,2,80
200,1,79
138,1607,79
167,5,79
165,5,77
130,21,76
235,8,72
123,2,72
126,4,66
219,8,65
210,2,65
136,8,64
174,3,63
241,5,63
182,2,62
21,2,62
147,5,60
259,14,60
149,1,59
121,4,59
35,4,58
135,4,58
218,1,57
26,3,56
12,32,56
250,8,54
208,0,54
213,4,53
185,1,52
102,1,52
16,1,51
63,7,51
72,5,51
205,3,49
171,4,48
94,5,44
64,2,36
78,2,36
215,9,36
20,0,35
60,1,34
191,2,34
29,3,32
124,2,31
155,1,31
11,0,31
203,4,31
131,5,31
55,0,31
242,5,31
178,2,31
32,2,31
252,1,31
51,2,30
192,5,28
47,5,27
9,1,27
15,0,26
120,1,26
77,0,26
57,2,26
53,0,25
108,0,25
180,0,25
254,3,25
86,0,23
81,0,22
175,1,22
122,0,21
183,2,20
19,3,20
153,0,19
93,21,18
150,3,18
1,2,18
3,1,17
98,1,17
73,0,16
34,1,16
139,0,16
38,1,16
128,1,15
58,0,14
194,10,11
23,0,11
117,0,10
222,0,10
206,1,9
201,0,9
156,1,9
240,1,9
8,2,8
96,0,8
6,2,8
101,0,7
245,1,7
251,0,6
187,0,6
221,0,6
118,1,6
176,0,6
204,0,6
109,0,6
214,0,5
46,0,5
111,0,5
115,0,5
184,0,4
31,2,4
84,1,4
172,0,4
154,0,3
27,0,3
59,0,2
5,0,2
44,0,2
253,0,2
30,0,1
105,1,0
