location_id,pickup_count,dropoff_count
236,16997,12186
237,15286,10413
186,14334,7501
48,12791,4820
170,10079,9169
162,9663,16021
141,9585,4752
107,8384,4904
238,8238,5348
142,8235,5192
100,7993,4611
239,7984,3868
229,7475,2958
263,7282,2641
262,7185,2474
140,6896,7614
161,6521,26671
234,6479,7587
230,6475,14473
132,6378,3281
138,5844,6413
68,5538,4427
79,5481,2019
163,5369,9302
164,5276,5272
143,5150,3185
90,5107,2664
231,4831,5718
137,4595,5714
233,4554,3651
249,4469,1781
113,4421,2488
43,4021,3631
151,4017,1092
75,3649,5390
13,3598,3962
264,3570,2767
50,3489,2737
246,3211,5421
158,2371,1217
41,2367,1350
74,2200,3295
166,2158,3156
87,2104,2296
114,1615,1261
24,1595,713
224,1399,385
148,1345,795
125,1318,1071
42,1238,993
226,1176,548
144,1022,873
261,979,1000
211,913,889
7,909,546
116,819,448
33,778,530
244,744,1209
88,734,1545
4,654,555
65,627,437
52,614,90
152,598,648
40,497,80
260,476,221
179,462,178
209,425,556
193,398,363
25,361,263
146,348,305
223,346,338
232,283,778
145,269,682
97,265,237
45,264,457
181,249,360
66,240,189
129,226,274
10,156,54
82,120,150
95,117,116
243,88,210
89,87,108
61,83,142
49,81,140
247,73,150
216,73,80
188,71,75
265,70,319
70,68,62
168,55,333
28,54,53
76,54,54
215,53,23
83,49,74
130,48,46
213,45,27
127,45,122
106,44,48
39,43,32
189,41,89
62,39,51
91,39,24
228,38,97
225,38,84
219,37,38
256,37,152
165,37,32
255,36,149
196,35,45
80,35,128
51,34,6
69,33,126
182,33,14
54,32,29
85,32,32
35,30,18
159,30,122
1,29,901
218,28,23
134,28,31
37,28,90
72,28,27
112,27,185
257,27,33
135,26,46
175,26,10
93,25,35
98,24,12
17,24,118
210,24,15
205,23,28
177,23,20
212,23,21
133,22,34
258,22,28
207,22,31
171,21,23
197,21,58
12,21,170
14,21,94
119,21,49
124,20,18
235,20,46
169,19,29
71,19,29
195,19,98
191,19,27
26,18,73
185,18,17
92,18,63
180,18,14
254,18,25
131,17,27
56,17,51
208,16,20
194,16,79
220,16,36
121,16,30
250,15,23
174,14,45
157,14,43
11,13,12
167,13,46
153,13,13
222,13,9
21,13,19
22,12,16
203,12,21
248,12,32
190,12,24
241,12,36
81,12,19
32,12,12
155,11,21
227,11,20
78,11,26
63,11,11
15,10,15
16,10,24
47,10,29
77,10,17
122,10,5
108,10,10
123,10,23
29,9,21
55,9,8
178,9,14
147,8,17
198,8,50
60,8,10
149,8,20
200,7,43
18,7,10
259,7,13
173,7,42
67,7,23
3,6,8
136,6,40
242,6,26
252,5,21
139,4,26
8,4,1
202,4,40
38,4,15
86,4,22
64,3,8
160,3,33
126,3,34
128,3,51
217,3,40
20,3,21
36,3,54
94,3,3
183,2,4
19,2,14
240,2,7
9,2,12
73,1,16
34,1,44
184,1,1
96,1,2
120,1,12
6,1,1
115,1,1
117,1,12
58,1,2
57,1,8
154,0,1
101,0,5
59,0,1
251,0,1
214,0,1
221,0,1
31,0,3
206,0,2
118,0,1
201,0,5
102,0,11
53,0,19
245,0,2
204,0,1
150,0,8
253,0,1
192,0,16
