location_id,pickup_count,dropoff_count
237,21578,23285
161,19142,19715
236,20347,19501
162,14888,14400
234,12458,13027
170,13981,12985
142,12505,12770
230,11165,12081
163,11855,11647
239,11957,10545
186,13435,10017
141,10143,9209
164,9345,9090
48,8718,8901
68,8108,8547
43,8419,8123
238,9278,7951
107,8903,7706
140,8455,7565
246,5985,7058
229,7963,6888
138,13855,6840
231,6567,6791
263,7241,6555
100,7739,6528
79,6287,5837
90,6431,5668
249,5255,5530
113,5958,5479
233,6066,5438
264,5561,4783
143,5582,4707
262,5945,4427
137,4925,4358
50,3595,4343
75,3201,4334
211,2986,4299
114,3358,4090
13,4266,4064
158,2976,3963
144,3076,3939
132,6984,3383
166,2856,3179
148,2338,3014
151,3987,2886
87,3041,2577
74,1353,2486
125,2269,2091
261,2528,1950
41,1405,1922
88,1694,1896
232,472,1213
42,578,1181
4,620,1173
24,1329,1156
45,949,1026
224,1055,992
209,671,978
1,29,974
244,405,926
145,366,730
33,426,717
265,141,713
7,414,710
65,514,613
152,339,570
66,208,561
255,119,543
181,228,539
116,380,508
25,265,477
12,228,460
256,90,453
226,427,450
112,86,395
243,78,377
129,138,339
146,301,333
97,231,331
223,162,316
194,115,262
193,209,257
49,55,250
247,58,248
61,40,221
95,32,219
179,163,207
17,35,206
80,41,202
195,89,197
260,103,194
40,111,187
37,25,187
52,151,172
168,58,167
189,53,154
82,52,153
89,39,146
127,33,143
228,25,141
217,20,128
92,22,127
106,30,125
190,36,124
14,41,120
216,45,117
225,15,114
188,52,112
76,19,107
10,92,104
69,16,101
220,21,101
70,40,91
196,25,87
36,8,85
119,18,81
202,19,77
26,15,77
130,20,75
159,21,70
83,27,69
200,8,65
62,18,63
93,43,62
257,9,61
157,7,61
54,6,57
207,50,54
134,27,54
56,14,54
121,8,53
198,6,52
28,20,51
135,12,51
91,18,51
197,17,48
160,5,47
71,16,47
167,13,47
39,18,47
22,17,46
123,19,46
165,24,45
133,9,44
16,10,44
98,6,44
215,38,43
51,15,42
218,15,42
55,10,42
242,13,42
191,10,41
205,15,40
72,11,40
155,15,39
128,2,39
219,25,38
173,6,38
34,6,37
85,12,37
31,2,37
210,18,37
171,5,35
149,9,34
15,9,33
250,7,33
258,5,33
29,6,32
35,13,32
208,6,32
241,9,32
169,7,31
78,9,31
177,13,31
213,9,30
178,12,30
67,5,30
235,10,30
254,10,30
174,8,29
227,11,29
136,9,29
252,5,29
124,8,28
101,6,28
38,3,28
20,9,27
182,12,27
32,4,26
21,6,26
139,3,25
131,4,25
147,6,25
77,3,25
102,4,25
73,2,23
203,3,23
47,7,23
192,11,23
3,4,22
18,7,22
126,3,22
53,5,21
9,1,21
212,5,21
86,3,20
259,7,20
60,6,19
19,8,19
11,6,18
185,8,18
222,12,18
63,3,18
248,3,17
122,8,17
150,5,17
81,4,16
108,4,15
64,1,14
117,2,14
175,4,14
180,3,13
120,3,12
94,2,12
153,8,10
23,0,9
58,0,9
240,3,9
201,1,7
154,0,6
221,0,6
118,0,6
115,0,6
57,2,6
59,1,5
183,2,5
214,0,5
46,1,5
6,0,4
206,0,3
8,6,2
251,0,2
187,0,2
96,0,2
5,0,2
27,1,2
44,0,2
156,0,2
245,0,2
253,0,2
184,0,1
99,0,1
111,0,1
204,0,1
84,0,1
105,1,1
109,0,1
