location_id,pickup_count,dropoff_count
79,13108,9642
230,10805,5931
48,10265,8961
148,9891,5578
249,8984,5457
132,8831,459
234,8328,4344
161,7859,3890
164,7369,5002
114,6761,3218
68,6731,6887
107,6507,5948
163,5798,4235
142,5699,4249
170,5648,6678
162,5379,4310
138,5276,144
186,5003,5955
100,4709,3316
231,4637,3983
158,4637,3223
144,4500,2983
90,4398,4567
237,4175,3230
113,3748,2841
229,3402,4363
239,3188,4447
264,3168,3053
141,3125,5098
263,3003,5189
246,2999,3531
137,2922,3835
211,2538,1877
50,2349,3282
236,2141,4081
233,2048,3683
238,1913,4336
125,1791,1320
87,1782,3188
140,1694,3125
43,1341,1428
88,1053,977
255,1046,1831
13,1035,1796
166,1027,1699
75,983,2934
41,982,2869
4,936,2016
74,914,2515
261,905,1417
143,885,2737
151,824,2246
45,807,803
232,806,1815
262,683,2912
256,674,1752
209,629,869
7,597,3127
42,536,2608
181,508,2250
145,493,1672
97,492,1076
116,481,2072
24,471,1097
25,455,1175
226,399,1442
65,365,890
244,359,2269
80,350,1239
112,342,1660
146,317,700
224,314,1589
152,280,847
265,240,1251
33,219,1350
129,205,1181
49,168,1341
37,155,994
260,155,621
17,150,1171
40,144,718
223,143,1243
189,141,839
179,138,902
193,115,309
66,103,562
61,101,1384
243,101,1381
36,92,634
82,91,571
106,84,338
52,70,428
12,70,72
168,68,449
127,62,578
225,62,806
247,46,164
188,45,629
95,39,663
10,39,224
228,38,438
28,37,161
217,36,112
83,32,243
89,29,663
62,27,365
69,26,291
93,25,20
195,22,177
159,22,190
190,19,127
14,19,513
196,19,226
70,18,153
130,18,139
136,18,71
177,17,141
157,16,180
85,15,122
202,15,259
219,15,116
216,15,230
173,13,188
119,13,121
235,12,128
133,11,220
134,11,145
56,11,133
169,10,175
220,10,176
54,9,155
198,9,384
257,9,342
194,9,6
92,9,182
242,9,54
215,9,71
76,9,136
167,8,99
77,7,30
197,7,119
259,7,67
250,6,63
35,6,86
18,6,129
174,6,79
126,6,100
120,6,33
160,5,153
171,5,63
39,5,132
210,5,62
91,5,106
72,5,92
34,4,29
71,4,124
131,4,84
227,4,179
147,4,72
60,4,35
213,4,85
178,4,34
212,4,114
165,4,101
191,4,85
94,4,74
29,3,46
203,3,52
16,3,59
47,3,42
26,3,76
207,3,4
208,3,76
185,3,93
19,3,42
53,3,52
67,3,86
121,3,78
124,2,44
155,2,48
154,2,2
200,2,144
101,2,24
64,2,39
3,2,40
248,2,77
31,2,10
206,2,18
128,2,26
102,2,70
55,2,42
135,2,88
241,2,119
108,2,39
81,2,33
153,2,23
240,2,20
9,2,25
149,2,59
20,2,48
63,2,63
21,2,75
192,2,35
51,1,49
205,1,86
15,1,50
11,1,34
8,1,11
258,1,101
184,1,2
221,1,13
218,1,88
78,1,45
118,1,12
111,1,9
38,1,28
117,1,17
58,1,11
180,1,36
1,1,47
222,1,23
252,1,49
123,1,80
182,1,71
254,1,57
57,1,44
73,0,32
30,0,3
59,0,5
139,0,40
22,0,100
251,0,5
183,0,28
187,0,3
98,0,40
214,0,4
96,0,9
5,0,3
27,0,5
46,0,5
6,0,9
201,0,27
23,0,9
156,0,11
44,0,2
176,0,3
115,0,5
245,0,8
122,0,22
86,0,26
204,0,5
150,0,28
84,0,3
32,0,48
105,0,1
172,0,6
109,0,8
175,0,33
