location_id,pickup_count,dropoff_count
236,20806,21159
237,23996,20449
161,19407,17488
230,12189,13505
162,15046,12875
170,13489,12754
142,13832,12747
186,12283,12472
234,13701,11862
163,12804,11388
239,12493,11114
141,9921,9766
238,9593,9613
164,9683,9458
48,8273,9011
140,8969,8352
68,7847,7700
138,13581,7669
100,7397,7223
263,7542,7192
107,9038,7113
43,9297,6954
229,7014,6703
246,5847,6539
79,6879,6280
231,6658,5991
233,5594,5795
262,5390,5707
143,5758,5706
113,6103,5582
132,12184,5578
249,5784,5553
90,6823,5525
264,6089,5248
75,3486,4802
137,4856,4700
50,3591,4142
211,3631,4096
13,4227,3792
158,3020,3777
114,3743,3687
144,3424,3490
151,4075,3316
166,2606,3185
148,2670,3019
74,1594,2928
87,2965,2687
41,1539,2105
261,3148,2014
125,1989,1998
88,1855,1596
1,73,1494
232,513,1432
4,608,1365
24,1379,1272
42,556,1200
224,756,1187
45,1058,1061
244,459,940
209,773,933
33,418,917
145,424,838
7,461,816
255,150,655
265,105,645
181,226,642
65,533,641
116,402,615
226,493,561
66,213,516
256,112,511
152,355,500
25,323,492
112,65,463
97,299,415
243,68,412
129,147,396
223,155,378
49,93,335
146,290,326
193,221,313
61,57,309
12,325,307
95,61,277
17,53,260
179,203,257
40,122,250
260,108,250
80,40,243
194,164,237
52,160,221
195,47,205
37,33,189
82,71,184
189,53,183
168,64,180
127,36,169
225,31,166
92,28,159
89,34,151
217,20,151
14,36,151
216,76,137
10,219,132
188,57,130
106,58,129
228,33,126
70,64,115
69,20,109
247,52,107
220,17,104
196,45,101
26,24,98
202,11,96
36,14,95
190,54,93
157,26,92
62,29,85
200,3,81
130,36,81
257,9,81
198,8,80
76,42,77
28,21,75
83,32,74
197,26,73
219,44,72
39,18,71
160,4,70
159,22,70
91,18,65
135,13,60
165,17,60
155,20,59
93,52,59
213,15,58
205,18,57
72,18,56
22,16,54
134,32,54
149,12,54
56,22,54
54,10,52
35,9,52
55,10,52
173,9,52
98,7,51
171,4,50
51,13,49
131,9,49
177,19,49
242,22,49
123,18,49
119,17,49
16,4,48
218,13,48
167,15,47
34,14,46
71,13,45
241,7,45
210,17,45
124,3,44
252,6,44
227,10,41
235,14,40
215,69,40
85,12,38
208,6,38
18,10,36
191,9,36
15,6,35
139,7,35
207,49,35
21,12,35
147,8,34
63,11,34
29,13,33
136,8,33
178,9,33
121,12,33
258,4,32
47,10,32
53,5,32
133,18,31
212,7,31
203,6,30
185,6,30
182,4,30
192,8,29
169,5,28
73,4,28
102,7,28
175,2,28
254,8,27
174,11,26
67,14,26
20,3,26
64,2,25
78,4,25
101,6,24
19,4,24
117,3,24
259,3,24
77,7,23
108,6,22
11,6,21
248,2,21
31,0,20
250,12,19
150,2,19
180,8,19
32,8,18
94,2,18
126,6,17
222,3,17
57,1,16
201,0,15
60,2,14
86,1,14
81,5,14
9,4,14
3,3,13
38,8,13
122,3,13
183,3,12
120,1,10
153,5,9
128,2,8
221,0,7
240,3,7
118,0,6
111,2,6
214,0,5
46,0,5
23,0,5
115,1,5
58,0,5
96,1,4
8,5,3
206,0,3
6,0,3
253,1,3
172,1,3
154,2,2
27,2,2
156,1,2
245,0,2
109,0,2
59,0,1
184,2,1
251,0,1
5,0,1
44,0,1
176,0,1
204,0,1
84,0,1
187,1,0
