location_id,pickup_count,dropoff_count
236,11028,15354
79,14801,14314
170,13911,13948
48,16321,13450
237,17077,12053
141,8480,11753
239,10339,11512
238,6070,10921
186,12328,10829
107,10837,10771
142,17972,10428
263,7294,10370
230,15747,10240
229,9112,10050
68,10922,9934
234,16040,9691
249,11046,9482
162,17970,9026
161,17108,8946
164,10997,8742
163,12407,7559
262,2360,7307
143,3320,7197
233,5489,7141
90,8537,7115
231,9059,7016
148,6703,6701
246,6124,6587
140,4803,6572
137,4972,6515
113,7934,6419
114,8096,5588
100,7599,5512
50,4318,5274
264,5819,5217
158,4777,5157
75,2125,4754
151,2506,4644
144,6211,4322
87,4003,4183
13,4028,3771
43,4907,3678
41,1631,3568
211,4345,3528
74,1404,3429
166,2030,3028
224,655,2980
4,922,2787
232,837,2784
181,647,2590
42,695,2563
33,620,2206
7,380,2137
261,2563,2119
125,2902,1962
255,580,1915
145,496,1895
132,12756,1863
24,933,1767
244,426,1730
112,224,1678
256,361,1651
116,514,1620
243,115,1485
25,542,1370
88,1995,1360
209,1065,1333
49,153,1248
97,621,1242
45,1119,1198
265,220,1177
65,689,1125
226,340,992
80,133,965
66,330,958
61,84,930
40,200,915
223,165,910
189,156,804
95,37,773
179,124,771
129,123,768
152,376,753
52,170,752
17,101,717
146,320,638
127,65,551
37,55,548
225,41,526
89,32,522
14,23,504
260,87,403
188,34,400
257,15,391
138,15003,342
168,61,340
36,24,320
106,64,306
220,15,298
228,27,292
10,114,280
82,55,265
202,29,261
193,123,247
62,16,240
200,1,238
1,5,236
70,23,232
69,25,229
196,22,227
198,5,222
54,17,216
195,22,197
160,7,196
92,9,190
133,6,182
216,27,176
83,20,155
157,14,150
247,41,146
56,3,140
134,15,128
217,30,122
28,13,120
67,5,119
165,7,116
130,21,109
219,19,108
91,6,103
235,13,102
76,21,102
227,7,98
12,131,98
197,10,97
159,22,97
169,3,94
213,5,94
22,1,93
135,4,93
190,26,90
72,9,90
119,23,90
26,5,89
39,11,87
121,6,84
241,11,83
208,3,80
35,11,79
173,8,77
258,4,76
182,6,76
18,5,74
252,2,74
71,9,73
210,2,72
167,7,69
171,0,68
51,5,67
218,1,67
177,13,67
85,11,66
131,1,66
136,7,66
21,2,64
191,8,63
98,0,61
248,6,57
185,3,57
32,3,57
155,9,55
205,3,54
250,7,54
124,6,53
64,2,53
16,2,53
259,8,52
180,3,52
63,5,52
55,0,51
174,3,50
78,5,50
242,8,50
254,18,50
212,6,48
15,0,47
11,2,47
175,1,47
123,5,46
149,2,45
147,1,44
19,5,44
53,2,44
203,3,42
215,40,41
192,0,41
3,3,39
126,5,38
38,6,38
178,1,38
102,5,37
183,0,36
81,3,36
108,1,35
139,3,34
47,3,34
29,2,32
34,15,32
57,1,32
60,4,29
9,0,28
20,0,28
94,2,28
93,49,27
117,0,25
153,5,25
73,1,24
23,2,24
150,3,24
101,1,23
77,5,23
194,9,22
120,4,20
201,0,20
128,5,20
222,5,18
122,1,17
86,3,17
206,0,15
214,0,13
115,1,13
245,0,13
31,0,12
58,0,12
96,0,11
111,1,11
240,2,11
172,0,11
156,0,10
251,0,9
27,0,9
221,0,8
46,4,8
6,0,8
5,0,7
176,0,7
187,0,5
8,3,4
204,1,4
154,0,3
59,0,3
118,0,3
84,0,3
207,4,2
44,0,2
253,2,2
109,0,2
30,0,1
184,0,1
105,1,0
