location_id,pickup_count,dropoff_count
237,24004,19087
236,21934,20609
162,16509,10744
161,15264,12357
138,14871,5910
142,14217,14714
170,14166,13040
234,13616,10272
230,13592,12442
239,13263,13171
132,12906,5810
186,11862,10395
163,11549,9224
141,11371,11483
48,10321,11465
238,9923,10934
43,9246,5409
107,8980,8516
68,8796,7901
164,8368,7795
140,7897,6686
263,7819,8737
90,7687,5510
229,7686,7649
79,7413,8644
113,6906,6042
246,6642,7267
100,6575,5828
231,6562,5277
264,6392,5535
249,5912,6530
233,5900,5309
143,5765,6558
262,5635,6794
137,4752,4556
151,4572,4470
114,4495,4503
13,3971,3109
144,3897,3628
158,3747,4561
87,3592,2342
75,3584,4799
50,3458,4328
166,3428,3415
211,3174,3295
148,2650,3584
261,2319,1384
88,2037,1059
41,1982,3034
74,1932,3382
125,1805,1693
24,1507,1709
45,975,874
209,954,978
42,886,1634
224,772,1801
65,672,640
4,588,1935
232,553,1927
152,534,650
33,504,1050
25,472,562
145,443,877
244,431,830
226,428,551
116,426,922
146,379,354
7,320,930
181,304,872
66,274,596
97,247,498
255,215,889
12,212,130
193,196,254
10,187,148
52,183,301
40,159,333
256,150,653
129,127,372
223,118,435
168,117,218
265,117,802
260,112,262
179,102,315
112,92,602
247,88,157
194,74,129
243,72,460
189,70,248
106,66,215
216,58,164
82,56,146
49,51,448
93,50,75
130,48,98
70,46,131
228,45,163
215,45,52
61,43,359
1,43,1041
134,41,77
219,40,80
95,39,378
127,38,172
195,37,147
83,36,102
17,33,275
54,32,68
89,31,201
190,31,73
34,30,33
28,29,88
37,29,239
69,28,97
14,28,181
80,28,335
159,23,64
188,22,147
202,22,147
91,22,67
197,21,76
133,20,70
225,19,224
217,18,119
51,16,70
26,16,80
220,16,127
235,16,56
62,14,83
22,13,48
257,13,152
167,13,49
92,13,179
56,13,57
119,13,60
76,12,86
227,11,67
78,11,41
157,11,80
182,11,29
196,11,112
169,10,42
71,10,59
47,10,30
177,10,63
254,10,40
136,9,34
81,9,37
121,9,42
39,9,64
72,9,61
18,8,40
174,8,30
126,8,24
198,8,97
128,8,17
135,8,85
86,8,31
213,8,62
153,8,12
123,8,44
124,7,48
147,7,23
122,7,18
21,7,34
3,6,21
35,6,53
185,6,35
242,6,30
178,6,29
173,6,72
191,6,53
258,5,53
85,5,33
207,5,4
149,5,39
36,5,142
155,4,52
200,4,81
139,4,56
218,4,66
208,4,31
212,4,22
165,4,77
222,4,17
63,4,29
15,3,34
101,3,29
29,3,42
64,3,42
250,3,18
203,3,31
98,3,56
31,3,9
131,3,66
120,3,5
46,3,13
77,3,21
19,3,23
102,3,48
38,3,23
241,3,39
180,3,19
67,3,33
252,3,55
192,3,28
73,2,21
8,2,5
96,2,5
27,2,7
60,2,14
55,2,50
53,2,34
150,2,15
259,2,28
9,2,15
20,2,20
210,2,53
94,2,17
154,1,2
11,1,34
160,1,57
183,1,22
171,1,58
187,1,1
221,1,3
206,1,6
201,1,12
23,1,13
156,1,5
117,1,34
108,1,29
84,1,3
32,1,44
109,1,4
175,1,26
57,1,29
205,0,52
59,0,1
184,0,3
16,0,55
251,0,3
214,0,3
248,0,24
5,0,3
6,0,8
118,0,6
111,0,1
176,0,2
115,0,2
245,0,6
58,0,1
204,0,2
240,0,12
253,0,4
172,0,1
