location_id,pickup_count,dropoff_count
186,13557,5704
48,12000,3589
100,7574,2434
236,6978,3872
132,6780,3692
162,5796,8234
170,5538,4832
107,5139,2865
237,5070,4149
141,4978,2934
263,4954,1422
68,4370,3608
262,4134,837
238,3972,1580
239,3937,1589
142,3804,2972
79,3716,1084
230,3584,10290
229,3331,1491
161,3319,14749
234,3272,4344
90,3216,1491
140,3100,5363
164,3014,3034
249,2895,783
143,2782,1840
163,2734,5119
231,2544,3244
137,2539,4114
113,2404,1080
264,2274,1704
233,2204,1848
151,2019,509
75,1992,3027
50,1891,2191
13,1730,1460
43,1706,1344
87,1576,1001
246,1571,3575
224,1199,285
41,1147,604
74,1135,1477
148,1091,462
158,1064,592
226,961,479
114,933,697
166,918,1154
24,763,234
7,709,442
125,683,406
42,656,396
261,609,514
144,589,476
33,559,347
88,509,584
211,487,534
260,453,217
4,439,325
25,437,129
138,427,6414
65,412,184
116,409,252
244,406,961
52,323,68
223,303,237
40,302,65
179,301,180
152,298,293
193,290,184
146,279,280
129,274,235
97,216,165
209,197,253
232,196,359
45,182,261
66,162,94
82,160,165
145,160,464
181,158,343
10,143,56
95,76,124
256,74,122
49,68,141
70,65,39
83,64,91
130,62,43
168,60,203
89,56,104
188,55,80
265,55,295
247,54,78
80,53,114
215,50,36
112,47,154
216,45,80
243,44,112
76,42,53
61,41,240
255,40,148
196,40,50
189,39,206
28,37,40
225,33,128
17,31,129
69,28,75
213,28,31
1,28,940
51,26,15
93,26,32
219,24,30
127,24,58
258,23,28
106,23,46
37,23,149
159,22,68
218,20,14
54,19,12
71,19,12
228,19,91
39,19,26
72,19,19
182,18,19
81,17,26
32,17,11
210,17,24
250,16,23
131,16,33
207,16,19
134,16,28
205,15,22
257,15,17
169,14,37
203,14,15
22,14,20
35,14,18
173,14,49
191,14,15
119,14,25
124,13,13
133,13,19
85,13,16
197,13,49
62,12,66
254,12,12
122,11,11
259,11,7
56,11,50
165,11,37
12,11,39
91,11,31
47,10,22
26,10,61
78,10,12
77,10,10
177,10,34
167,10,25
92,10,55
235,10,14
121,10,27
126,9,42
194,9,36
135,9,48
190,9,17
241,9,21
149,9,26
21,9,18
98,8,13
195,8,45
18,8,17
36,8,69
8,7,1
136,7,45
63,7,12
14,7,74
248,6,18
174,6,23
147,6,10
208,6,18
242,6,12
123,6,20
155,5,25
227,5,26
102,5,15
220,5,32
150,5,9
153,5,11
217,5,34
157,5,54
202,4,30
60,4,11
86,4,29
212,4,11
222,4,9
175,4,14
200,3,26
101,3,18
160,3,16
16,3,14
171,3,12
198,3,66
185,3,9
55,3,9
108,3,9
15,2,10
73,2,7
64,2,8
183,2,16
221,2,3
120,2,10
6,2,3
111,2,1
38,2,16
53,2,13
240,2,7
67,2,13
11,1,4
3,1,9
34,1,59
139,1,11
96,1,1
19,1,9
128,1,19
156,1,0
178,1,16
180,1,8
252,1,16
192,1,17
154,0,2
29,0,7
184,0,2
187,0,2
214,0,3
31,0,2
118,0,1
201,0,10
23,0,3
245,0,1
117,0,5
58,0,2
9,0,8
20,0,14
253,0,3
109,0,1
94,0,8
57,0,3
