location_id,pickup_count,dropoff_count
79,15960,12306
48,14802,11663
170,8804,10313
68,8964,8917
230,16136,8746
107,9559,8518
236,4226,8487
141,5033,8432
186,7909,8040
263,4351,7977
239,5619,7720
164,9981,7387
162,9514,7224
249,10752,7196
238,3427,7154
229,5456,7070
142,14223,6911
163,9654,6706
237,8294,6600
148,9698,6579
234,12193,6520
161,13627,6097
90,6151,5995
231,7442,5766
233,3049,5680
137,4054,5560
262,1215,5148
140,2705,4851
246,4224,4781
100,6171,4661
143,1923,4540
50,3298,4499
113,5478,4468
264,4651,4357
158,4746,4252
114,8234,4215
75,1476,4143
87,2722,4012
41,1539,3831
144,5347,3737
151,1446,3612
42,748,3140
74,1128,3122
7,508,3050
181,834,3044
13,1794,2819
244,445,2798
43,2940,2784
211,3735,2687
4,1105,2683
166,1406,2523
232,999,2492
116,560,2465
33,391,2237
224,497,2217
255,1173,2146
243,147,2058
261,1663,2057
256,783,2013
112,468,2002
145,536,1873
125,2513,1792
49,220,1691
24,667,1634
25,660,1564
61,111,1518
226,368,1394
265,236,1378
97,999,1368
80,400,1334
223,134,1310
209,868,1247
17,161,1234
65,593,1215
88,1520,1186
129,118,1155
45,844,1077
189,241,1056
152,422,1039
40,189,1010
132,12495,952
95,32,933
37,115,926
179,125,880
225,49,878
127,93,828
66,237,747
146,350,725
89,32,687
14,24,659
188,64,651
52,127,650
260,114,615
36,55,527
228,55,526
82,73,526
257,20,491
168,71,420
106,98,382
198,19,378
62,39,369
202,21,347
10,74,297
69,23,296
220,6,289
193,105,282
196,30,255
216,14,240
54,28,239
133,6,239
195,17,229
227,5,222
247,64,217
70,36,214
160,2,212
83,34,210
200,1,208
159,13,204
92,11,196
197,15,180
28,27,175
157,19,168
138,12282,163
173,7,161
169,14,157
134,18,157
22,8,155
119,14,148
217,60,147
135,8,145
235,8,143
76,18,141
190,30,140
219,24,137
177,13,137
56,24,134
241,2,132
165,6,130
130,27,128
67,11,127
258,6,122
39,3,122
26,11,109
85,9,106
72,6,106
21,4,105
208,4,103
91,15,103
35,7,100
167,7,100
18,4,97
136,4,97
16,1,96
123,2,96
71,10,88
205,3,87
147,5,87
185,3,87
171,3,85
213,3,84
182,3,83
218,4,79
12,108,79
252,1,77
149,2,76
174,6,75
121,3,75
210,3,75
102,3,71
259,1,71
215,20,71
191,4,71
126,3,70
212,2,68
131,1,66
254,3,65
63,7,64
124,7,62
94,1,62
53,3,60
1,2,60
155,1,57
203,1,57
248,2,57
15,3,56
250,4,55
108,1,55
64,1,54
51,4,53
55,1,52
98,2,51
78,2,51
29,3,49
180,2,49
175,2,49
47,3,48
139,1,47
11,0,46
120,7,45
77,2,43
32,2,43
93,45,42
73,1,40
60,5,40
178,4,40
20,4,40
192,3,40
183,3,38
242,7,38
128,4,37
150,7,34
3,1,33
34,11,33
9,1,33
86,1,31
57,1,30
19,0,29
38,0,29
117,1,29
81,3,29
122,0,27
201,0,25
153,8,24
222,0,21
101,1,19
31,1,17
58,0,17
240,0,16
118,0,15
194,10,13
46,0,12
23,0,11
111,3,11
214,0,10
206,0,10
6,0,10
251,0,9
245,1,9
172,0,9
221,0,8
156,1,8
115,0,8
96,0,7
5,0,7
184,1,6
109,0,6
30,0,5
8,2,5
204,0,5
27,0,4
207,3,4
84,0,4
44,0,3
176,0,3
154,1,2
59,0,2
105,0,2
253,3,2
187,2,1
