location_id,pickup_count,dropoff_count
236,7526,13453
48,19286,13451
79,16846,13259
170,11396,12569
239,9025,10922
141,7140,10831
237,14317,10590
238,4976,10125
107,10842,10088
68,10794,9850
263,6236,9814
186,11565,9672
230,17075,9651
229,7744,9463
142,19503,9273
162,14582,8612
164,10483,8415
249,11347,8365
234,13890,8249
161,16295,8029
163,12299,7961
262,1775,7006
90,7300,6669
231,9251,6642
233,4192,6537
148,8477,6326
143,3082,6263
140,3673,6174
137,4353,6152
246,5174,5825
113,6566,5610
264,5694,5133
100,6760,5033
50,4302,4991
75,1842,4870
114,8202,4821
158,4392,4685
151,2063,4627
87,3694,4377
43,4711,4219
41,1744,4168
144,6121,3683
13,3088,3445
166,1890,3257
181,862,3253
74,1303,3222
42,701,3081
211,4201,3078
224,640,2836
4,1060,2708
232,949,2615
244,510,2613
7,466,2609
33,633,2562
261,2218,2252
116,577,2247
243,152,2062
145,577,2055
255,813,2031
125,2654,1941
112,345,1916
24,848,1913
256,641,1810
49,220,1701
25,696,1631
97,787,1494
61,97,1397
132,10125,1377
209,1105,1376
265,222,1359
65,622,1310
88,1790,1255
226,391,1229
40,241,1165
223,161,1152
80,316,1134
45,1046,1129
17,160,1090
189,204,1087
95,36,975
152,452,955
129,123,947
66,379,926
179,135,854
52,234,835
127,82,784
37,78,753
146,350,698
225,39,685
89,39,625
14,23,586
188,64,554
260,86,510
257,15,471
36,41,445
106,117,407
228,35,399
168,53,381
82,55,351
62,16,337
202,18,330
220,7,301
54,32,285
198,9,282
10,61,262
193,111,261
69,19,259
200,5,247
195,26,223
196,21,223
70,21,216
133,11,214
92,8,204
138,12944,195
83,24,183
216,34,175
160,4,168
247,78,167
157,16,164
28,12,161
227,4,147
217,59,145
159,19,141
165,4,134
169,5,128
56,15,128
134,15,127
22,6,122
130,22,121
197,11,119
190,31,119
235,4,115
76,16,111
135,3,110
67,9,110
177,10,109
39,11,109
85,16,107
219,17,107
1,5,105
258,1,103
12,113,103
16,1,101
121,5,100
119,12,98
72,12,95
241,6,93
91,9,92
252,1,89
173,13,87
18,14,85
218,6,85
171,2,83
174,6,83
208,2,83
155,1,79
26,3,79
35,22,77
213,1,77
21,5,77
210,1,76
131,3,75
147,6,72
182,2,72
71,14,71
167,4,71
205,3,70
185,2,70
212,6,64
124,3,63
126,4,63
248,1,62
149,5,61
136,5,58
102,8,58
191,11,58
123,3,57
259,2,56
250,6,55
98,1,55
53,8,55
254,7,54
175,1,51
55,0,50
15,1,49
178,4,49
51,5,48
63,3,48
94,2,48
64,1,47
3,3,46
11,0,45
242,4,44
32,6,44
29,5,43
203,0,43
19,4,43
57,4,43
180,5,42
38,4,41
47,2,40
78,7,39
128,0,39
192,4,39
93,45,38
183,2,36
139,2,35
73,0,34
77,2,33
60,2,33
150,4,33
215,16,33
201,0,32
81,4,32
34,12,31
108,1,31
9,2,31
20,5,30
101,3,26
86,1,25
222,1,24
120,4,23
117,1,22
153,1,22
23,0,18
122,0,16
221,1,15
206,0,15
194,17,15
58,1,15
6,0,14
96,1,12
240,2,11
172,0,11
84,1,10
111,0,9
109,0,9
8,0,8
251,0,8
27,0,8
214,0,7
46,1,7
118,0,7
204,0,7
59,0,6
31,1,6
176,0,6
154,0,5
187,0,4
115,0,4
245,0,4
207,8,3
44,1,3
253,2,3
156,2,2
30,0,1
184,1,1
199,1,1
99,0,1
105,2,0
