location_id,pickup_count,dropoff_count
236,12766,15332
79,11980,14758
170,15171,13936
237,18138,13252
48,12514,12729
239,10253,12404
141,9169,12131
234,17075,11537
186,12787,11227
142,13436,11215
107,10610,11015
230,14954,10840
263,7385,10583
238,6835,10496
249,9146,10418
68,9873,9941
229,8774,9772
161,17642,8895
162,17690,8850
164,11168,8772
163,12697,7505
231,8710,7252
140,6632,7210
113,7791,7088
246,6282,7079
262,3191,6923
90,8113,6841
143,3855,6747
148,4958,6571
233,6322,6368
137,5582,6334
114,6133,6223
158,4600,5821
100,8247,5560
264,5751,5242
50,3407,4969
144,5898,4833
75,2323,4389
151,3158,4286
211,4191,3899
41,1633,3510
13,4003,3500
87,3669,3396
132,13277,3309
74,1488,3289
43,5156,3251
232,669,2820
166,2122,2718
4,711,2701
224,601,2581
42,636,2159
125,2859,2078
24,1080,1819
181,472,1795
33,545,1762
261,2492,1653
7,368,1639
145,431,1567
255,401,1517
45,938,1453
244,311,1374
256,248,1365
116,457,1312
88,1863,1295
209,1002,1203
112,179,1193
265,148,1119
243,105,1078
25,435,971
97,439,915
65,620,905
49,126,888
66,347,885
138,12599,870
226,306,853
80,119,791
223,110,704
40,155,703
152,388,675
61,69,630
95,33,620
129,99,594
179,111,570
17,69,542
52,151,515
189,122,514
146,255,492
1,24,491
127,40,466
37,42,422
14,19,407
225,31,376
89,35,357
260,71,314
168,51,297
257,10,288
10,77,284
106,57,269
188,22,257
220,13,250
36,20,250
202,26,246
193,96,214
70,22,211
195,39,209
228,24,204
82,35,202
69,15,198
196,12,186
54,25,176
160,2,175
200,4,174
62,13,173
92,12,166
198,8,159
216,21,158
157,10,135
133,17,132
247,39,132
219,26,118
76,16,115
12,126,114
217,21,106
83,16,103
28,15,100
213,5,97
159,27,96
56,6,96
165,2,95
169,5,94
91,2,91
39,11,89
134,12,85
135,6,83
197,5,81
218,17,80
182,7,80
130,24,79
235,5,79
241,8,76
227,7,75
119,8,75
26,6,73
51,9,70
98,4,70
67,9,69
102,4,68
208,1,67
177,14,67
190,20,67
258,2,66
18,7,66
123,3,64
121,3,63
72,4,63
22,5,61
35,17,61
171,2,60
210,3,60
71,9,59
252,0,59
16,7,58
167,5,58
173,5,56
174,6,54
254,17,54
205,3,53
21,2,53
136,7,52
131,3,51
175,1,50
155,5,49
203,3,48
85,11,48
149,3,46
55,2,45
185,5,44
215,27,44
29,0,43
19,7,43
212,3,43
63,5,43
15,0,42
147,3,42
53,3,42
259,9,42
32,1,42
124,3,40
64,0,40
178,4,40
108,2,39
191,6,39
11,3,36
126,2,36
93,33,36
180,3,36
139,7,35
78,5,34
194,8,33
81,7,33
250,6,32
192,5,32
248,2,31
242,3,31
57,0,31
47,11,30
38,1,29
77,5,28
201,0,28
117,3,27
183,1,26
128,1,26
3,0,25
94,2,24
73,0,23
34,3,23
120,5,23
153,6,23
60,1,21
86,2,21
9,1,21
150,2,20
101,3,19
20,2,18
222,0,16
122,0,15
206,0,14
6,0,14
58,1,13
23,2,12
172,0,12
27,0,11
46,1,10
251,0,9
221,0,9
214,0,8
115,0,8
8,4,7
240,0,7
31,0,6
111,1,6
245,0,6
5,0,5
109,0,5
118,0,4
176,0,4
204,0,4
184,0,3
96,0,3
154,1,2
44,0,2
84,0,2
59,0,1
187,0,1
156,0,1
105,1,1
253,0,1
207,5,0
