location_id,pickup_count,dropoff_count
161,3319,14749
230,3584,10290
162,5796,8234
138,427,6414
186,13557,5704
140,3100,5363
163,2734,5119
170,5538,4832
234,3272,4344
237,5070,4149
137,2539,4114
236,6978,3872
132,6780,3692
68,4370,3608
48,12000,3589
246,1571,3575
231,2544,3244
164,3014,3034
75,1992,3027
142,3804,2972
141,4978,2934
107,5139,2865
100,7574,2434
50,1891,2191
233,2204,1848
143,2782,1840
264,2274,1704
239,3937,1589
238,3972,1580
90,3216,1491
229,3331,1491
74,1135,1477
13,1730,1460
263,4954,1422
43,1706,1344
166,918,1154
79,3716,1084
113,2404,1080
87,1576,1001
244,406,961
1,28,940
262,4134,837
249,2895,783
114,933,697
41,1147,604
158,1064,592
88,509,584
211,487,534
261,609,514
151,2019,509
226,961,479
144,589,476
145,160,464
148,1091,462
7,709,442
125,683,406
42,656,396
232,196,359
33,559,347
181,158,343
4,439,325
265,55,295
152,298,293
224,1199,285
146,279,280
45,182,261
209,197,253
116,409,252
61,41,240
223,303,237
129,274,235
24,763,234
260,453,217
189,39,206
168,60,203
193,290,184
65,412,184
179,301,180
82,160,165
97,216,165
112,47,154
37,23,149
255,40,148
49,68,141
17,31,129
25,437,129
225,33,128
95,76,124
256,74,122
80,53,114
243,44,112
89,56,104
66,162,94
228,19,91
83,64,91
188,55,80
216,45,80
247,54,78
69,28,75
14,7,74
36,8,69
52,323,68
159,22,68
198,3,66
62,12,66
40,302,65
26,10,61
34,1,59
127,24,58
10,143,56
92,10,55
157,5,54
76,42,53
56,11,50
196,40,50
197,13,49
173,14,49
135,9,48
106,23,46
195,8,45
136,7,45
130,62,43
126,9,42
28,37,40
70,65,39
12,11,39
169,14,37
165,11,37
194,9,36
215,50,36
177,10,34
217,5,34
131,16,33
220,5,32
93,26,32
213,28,31
91,11,31
202,4,30
219,24,30
86,4,29
258,23,28
134,16,28
121,10,27
200,3,26
227,5,26
81,17,26
149,9,26
39,19,26
155,5,25
167,10,25
119,14,25
210,17,24
250,16,23
174,6,23
205,15,22
47,10,22
241,9,21
22,14,20
123,6,20
133,13,19
207,16,19
128,1,19
182,18,19
72,19,19
101,3,18
35,14,18
248,6,18
208,6,18
21,9,18
18,8,17
257,15,17
190,9,17
192,1,17
160,3,16
85,13,16
183,2,16
38,2,16
178,1,16
252,1,16
51,26,15
203,14,15
102,5,15
191,14,15
16,3,14
218,20,14
20,0,14
235,10,14
175,4,14
124,13,13
98,8,13
53,2,13
67,2,13
54,19,12
171,3,12
71,19,12
78,10,12
242,6,12
63,7,12
254,12,12
139,1,11
60,4,11
122,11,11
153,5,11
212,4,11
32,17,11
15,2,10
120,2,10
147,6,10
77,10,10
201,0,10
3,1,9
185,3,9
19,1,9
55,3,9
108,3,9
150,5,9
222,4,9
64,2,8
180,1,8
9,0,8
94,0,8
29,0,7
73,2,7
259,11,7
240,2,7
117,0,5
11,1,4
214,0,3
221,2,3
6,2,3
23,0,3
253,0,3
57,0,3
154,0,2
184,0,2
187,0,2
31,0,2
58,0,2
8,7,1
96,1,1
118,0,1
111,2,1
245,0,1
109,0,1
156,1,0
